formula calculations:
d = 208.500000
t1 = 1.834190, t2 = -1.112653
change table t, x and y:
t = 0.000000, x = 10.000000, y = 10.000000
t = 0.010000, x = 10.035356, y = 10.034865
t = 0.020000, x = 10.070711, y = 10.068751
t = 0.030000, x = 10.106066, y = 10.101656
t = 0.040000, x = 10.141421, y = 10.133581
t = 0.050000, x = 10.176777, y = 10.164527
t = 0.060000, x = 10.212132, y = 10.194492
t = 0.070000, x = 10.247487, y = 10.223477
t = 0.080000, x = 10.282843, y = 10.251483
t = 0.090000, x = 10.318198, y = 10.278508
t = 0.100000, x = 10.353554, y = 10.304554
t = 0.110000, x = 10.388908, y = 10.329618
t = 0.120000, x = 10.424264, y = 10.353703
t = 0.130000, x = 10.459620, y = 10.376809
t = 0.140000, x = 10.494975, y = 10.398935
t = 0.150000, x = 10.530330, y = 10.420080
t = 0.160000, x = 10.565685, y = 10.440246
t = 0.170000, x = 10.601041, y = 10.459431
t = 0.180000, x = 10.636396, y = 10.477636
t = 0.190000, x = 10.671751, y = 10.494861
t = 0.200000, x = 10.707107, y = 10.511106
t = 0.210000, x = 10.742462, y = 10.526372
t = 0.220000, x = 10.777818, y = 10.540658
t = 0.230000, x = 10.813173, y = 10.553964
t = 0.240000, x = 10.848528, y = 10.566288
t = 0.250000, x = 10.883883, y = 10.577634
t = 0.260000, x = 10.919239, y = 10.587999
t = 0.270000, x = 10.954595, y = 10.597384
t = 0.280000, x = 10.989949, y = 10.605789
t = 0.290000, x = 11.025305, y = 10.613214
t = 0.300000, x = 11.060660, y = 10.619660
t = 0.310000, x = 11.096016, y = 10.625126
t = 0.320000, x = 11.131371, y = 10.629611
t = 0.330000, x = 11.166726, y = 10.633116
t = 0.340000, x = 11.202082, y = 10.635642
t = 0.350000, x = 11.237436, y = 10.637186
t = 0.360000, x = 11.272792, y = 10.637753
t = 0.370000, x = 11.308147, y = 10.637338
t = 0.380000, x = 11.343502, y = 10.635942
t = 0.390000, x = 11.378858, y = 10.633568
t = 0.400000, x = 11.414213, y = 10.630214
t = 0.410000, x = 11.449569, y = 10.625879
t = 0.420000, x = 11.484923, y = 10.620564
t = 0.430000, x = 11.520279, y = 10.614269
t = 0.440000, x = 11.555634, y = 10.606996
t = 0.450000, x = 11.590990, y = 10.598741
t = 0.460000, x = 11.626345, y = 10.589505
t = 0.470000, x = 11.661700, y = 10.579291
t = 0.480000, x = 11.697056, y = 10.568097
t = 0.490000, x = 11.732410, y = 10.555922
t = 0.500000, x = 11.767766, y = 10.542767
t = 0.510000, x = 11.803122, y = 10.528632
t = 0.520000, x = 11.838477, y = 10.513518
t = 0.530000, x = 11.873833, y = 10.497424
t = 0.540000, x = 11.909187, y = 10.480349
t = 0.550000, x = 11.944543, y = 10.462294
t = 0.560000, x = 11.979898, y = 10.443260
t = 0.570000, x = 12.015253, y = 10.423244
t = 0.580000, x = 12.050609, y = 10.402250
t = 0.590000, x = 12.085964, y = 10.380276
t = 0.600000, x = 12.121319, y = 10.357321
t = 0.610000, x = 12.156674, y = 10.333386
t = 0.620000, x = 12.192030, y = 10.308472
t = 0.630000, x = 12.227386, y = 10.282578
t = 0.640000, x = 12.262741, y = 10.255703
t = 0.650000, x = 12.298096, y = 10.227848
t = 0.660000, x = 12.333451, y = 10.199013
t = 0.670000, x = 12.368807, y = 10.169199
t = 0.680000, x = 12.404161, y = 10.138404
t = 0.690000, x = 12.439517, y = 10.106629
t = 0.700000, x = 12.474873, y = 10.073875
t = 0.710000, x = 12.510227, y = 10.040140
t = 0.720000, x = 12.545583, y = 10.005425
t = 0.730000, x = 12.580938, y = 9.969731
t = 0.740000, x = 12.616294, y = 9.933057
t = 0.750000, x = 12.651649, y = 9.895403
t = 0.760000, x = 12.687004, y = 9.856768
t = 0.770000, x = 12.722360, y = 9.817153
t = 0.780000, x = 12.757715, y = 9.776559
t = 0.790000, x = 12.793070, y = 9.734983
t = 0.800000, x = 12.828425, y = 9.692429
t = 0.810000, x = 12.863781, y = 9.648895
t = 0.820000, x = 12.899136, y = 9.604380
t = 0.830000, x = 12.934491, y = 9.558886
